Brand,Brewery,PercentAlcohol,CaloriesPer12Oz,Carbohydrates
American Amber Lager,Straub Brewery ,4.1,136,10.5
American Lager,Straub Brewery,4.1,132,10.5
American Light,Straub Brewery,3.2,96,7.6
Anchor Porter,Anchor,5.6,209,
Anchor Steam,Anchor ,4.9,153,16
Anheuser Busch Natural Light ,Anheuser Busch,4.2,95,3.2
Anheuser Busch Natural Ice,Anheuser Busch,5.9,157,8.9
Aspen Edge,Adolph Coors,4.1,94,2.6
Bard's Gold (Gluten-Free) ,Bard's Tale Beer Co,4.6,155,14.2
Big Sky I.P.A. ,Big Sky Brewing,6.2,195,
Big Sky Moose Drool Brown Ale ,Big Sky Brewing,5.2,177,15.6
Big Sky Powder Hound (seasonal) ,Big Sky Brewing,6.2,195,
Big Sky Scape Goat Pale Ale ,Big Sky Brewing,4.7,163,13.9
Big Sky Summer Honey Ale (seasonal) ,Big Sky Brewing,4.7,154,11.6
Big Sky Trout Slayer Ale ,Big Sky Brewing,4.7,163,13.9
Blatz Beer ,Blatz,4.8,153,12.5
Blue Moon,Adolph Coors,5.4,171,13.7
Breckenridge Brown Ale,Breckenridge Brewery,5.6,196,21.9
Breckenridge Red Ale,Breckenridge Brewery,5.5,193,21.8
Bud Dry,Budweiser,5,130,7.8
Bud Ice,Budweiser,5.5,123,8.9
Bud Ice Light,Budweiser,5,115,7.5
Bud Light,Budweiser,4.2,110,6.6
Bud Light Lime,Budweiser,4.2,116,8
Bud Light Platinum,Budweiser,6,137,4.4
Budweiser,Budweiser,5,145,10.6
Budweiser Black Crown,Budweiser,6,146,10
Budweiser Select,Budweiser,4.3,99,3.1
Budweiser Select 55,Budweiser,2.4,55,1.9
Busch Beer ,Anheuser Busch,4.6,133,10.2
Busch Ice,Anheuser Busch,5.9,169,12.5
Busch Light,Anheuser Busch,4.1,95,3.2
Carling Black Label,G. Heileman,4.3,138,12.5
Colt 45 Malt Liquor,G. Heileman,6.1,174,11.1
Coors  ,MillerCoors,4.91,149,12.2
Coors Light ,MillerCoors,4.15,104,5.3
Deschutes Twilight Summer Ale ,Deschutes Brewery,5,162,9.6
Deschutes Chainbreaker White IPA ,Deschutes Brewery,5.6,180,10.8
Extra Gold Lager ,MillerCoors,4.97,152,12.5
Flying Dog Dog Schwarz,Flying Dog Brewery ,7.8,222,14.3
Flying Dog Doggie Style,Flying Dog Brewery ,4.7,158,11.4
Flying Dog DogtoberFest,Flying Dog Brewery ,5.6,165,12.3
Flying Dog Double Dog ,Flying Dog Brewery ,11.5,313,16.6
Flying Dog Garde Dog,Flying Dog Brewery ,5.5,150,9.3
Flying Dog Gonzo,Flying Dog Brewery ,9.2,271,18.9
Flying Dog Horn Dog,Flying Dog Brewery ,10.2,314,21.5
Flying Dog In Heat Wheat,Flying Dog Brewery ,4.7,138,10.4
Flying Dog K-9 Cruiser,Flying Dog Brewery ,7.4,197,10.6
Flying Dog Kerberos Tripel,Flying Dog Brewery ,8.3,238,8.6
Flying Dog Old Scratch Amber Ale,Flying Dog Brewery ,5.5,154,10.2
Flying Dog Raging Bitch,Flying Dog Brewery ,8.3,221,11.6
Flying Dog Road Dog,Flying Dog Brewery ,6,163,9.9
Flying Dog Snake Dog IPA,Flying Dog Brewery ,7.1,188,10
Flying Dog Tire Bite Golden Ale,Flying Dog Brewery ,5.1,129,6.2
Flying Dog Wild Dog: Coffee Stout,Flying Dog Brewery ,9.9,288,20.2
Flying Dog Woody Creek White,Flying Dog Brewery ,4.8,131,8
Genesee Beer,High Falls Brewing,4.5,148,13.5
Genesee Cream Ale,High Falls Brewing,5.1,162,15
Genesee Ice,High Falls Brewing,5.9,156,14.5
Genesee Red,High Falls Brewing,4.9,148,14
George Killian's Irish Red,MillerCoors,4.98,162,14.8
Icehouse,MillerCoors,5.5,132,8.7
Icehouse 5.0,MillerCoors,5.5,149,9.8
Icehouse Light,MillerCoors,4.13,103,5.5
Hamm's Beer,MillerCoors,4.7,144,12.1
Hamm's Golden Draft,MillerCoors,4.7,144,12.1
Hamm's Special Light,MillerCoors,3.9,110,8.3
Keystone Premium,Adolph Coors,4.43,111,5.8
Keystone Light,Adolph Coors,4.13,103,5
Keystone Ice,Adolph Coors,5.9,142,5.9
Leinenkugel Honey Weiss,Leinenkugel,4.92,149,12
Leinenkugel Northwoods Lager,Leinenkugel,4.94,163,15.3
Leinenkugel Original,Leinenkugel,4.67,152,13.9
Leinenkugel Creamy Dark,Leinenkugel,4.94,170,16.8
Leinenkugel Red ,Leinenkugel,4.94,166,16.2
Leinenkugel Sunset Wheat,Leinenkugel,4.9,165,16
Leinenkugel Light,Leinenkugel,4.19,105,5.7
Leinenkugel Amber Light,Leinenkugel,4.14,110,7.4
Lowenbrau Dark,,5,160,
Lowenbrau Special Beer,,5.2,160,
Magnum Malt Liquor,MillerCoors,5.6,157,11.2
Michael Shea's,High Falls Brewing,4.62,145,13
Michelob Amber Boch,Anheuser Busch,5.2,166,15
Michelob Beer,Anheuser Busch,5,155,13.3
Michelob Golden Draft,Anheuser Busch,4.7,152,14.1
Michelob Golden Draft Light,Anheuser Busch,4.1,110,7
Michelob Honey Lager,Anheuser Busch,4.9,175,17.9
Michelob Light,Anheuser Busch,4.3,113,6.7
Michelob Ultra,Anheuser Busch,4.1,95,2.6
Mickey's Fine Malt Liquor ,MillerCoors,5.6,157,11.2
Mickey's Ice ,MillerCoors,5.8,157,11.8
Miller Chill,MillerCoors,4.2,110,6.5
Miller Genuine Draft,MillerCoors,4.7,143,13.1
Miller Genuine Draft Light,MillerCoors,4.2,110,7
"Miller Genuine Draft ""64""",MillerCoors,2.8,64,2.4
Miller High Life,MillerCoors,4.7,143,13.1
Miller High Life Light,MillerCoors,4.2,110,7
Miller Lite,MillerCoors,4.2,96,3.2
Milwaukee's Best,MillerCoors,4.3,128,11.4
Miller Lite Brewers Collection Amber,MillerCoors,4.2,110,6.2
Miller Lite Brewers Collection Blonde,MillerCoors,4.2,110,6.2
Miller Lite Brewers Collection Wheat,MillerCoors,4.2,110,6.2
Milwaukee's Best Premium,MillerCoors,4.3,128,11.4
Milwaukee's Best Light,MillerCoors,4.2,98,3.5
Milwaukee's Best Ice,MillerCoors,5.9,144,7.3
New Belgium 1554,New Belgium,5.6,205,25
New Belgium 2 Below,New Belgium,6.6,200,17
New Belgium Abbey,New Belgium,7,200,18
New Belgium Blue Paddle,New Belgium,4.8,140,14
New Belgium Fat Tire,New Belgium,5.2,160,15
New Belgium Mothership Wit,New Belgium,4.8,155,15
New Belgium Trippel,New Belgium,7.8,215,20
New Belgium Sunshine Wheat,New Belgium,4.8,145,13
O'Doul's,Anheuser Busch,0.4,70,13.3
Old Milwaukee Light,Old Milwaukee,3.8,114,8.3
Old Milwaukee Beer,Old Milwaukee,4.5,146,12.9
Olde English 800,MillerCoors,5.9,160,10.5
Olde English 800 7.5,MillerCoors,7.5,202,13.4
Olde English High Gravity 800,MillerCoors,8,220,14.6
Olympia Premium Lager,Pabst,4.7,146,11.9
Pabst Blue Ribbon,Pabst,4.65,144,12.01
Pabst Extra Light Low Alcohol,Pabst,2.5,67,
Pete's Wicked Ale,,5.3,174,17.7
Red Dog,MillerCoors,5,147,14.1
Red Hook ESB,Red Hook,5.77,179,14.15
Red Hook IPA,Red Hook,6.5,188,12.66
Rolling Rock Extra Pale,Latrobe,4.6,142,
Rolling Rock Premium Beer ,Latrobe,4.5,120,10
Sam Adams Boston Lager ,Boston Beer,4.75,160,18
Sam Adams Boston Ale,Boston Beer,4.94,160,19.9
Sam Adams Cherry Wheat,Boston Beer,5.2,166,16.86
Sam Adams Cream Stout,Boston Beer,4.69,195,23.94
Sam Adams IPA,Boston Beer,5.93,175,
Sam Adams Light,Boston Beer,4.05,119,9.6
Sam Adams Pale Ale,Boston Beer,5.25,145,
Schaefer Beer,Pabst,4.6,142,12
Schlitz Beer,Pabst,4.7,146,12.1
Schlitz Light,Pabst,4.2,110,
Schlitz Malt Liquor,Pabst,6.2,185,
Sierra Nevada Anniversary Ale,Sierra Nevada,5.9,190,17.3
Sierra Nevada Bigfoot,Sierra Nevada,9.6,330,32.1
Sierra Nevada Celebration Ale,Sierra Nevada,6.8,214,19.4
Sierra Nevada Draft Ale,Sierra Nevada,5,157,13.4
Sierra Nevada Early Spring Beer,Sierra Nevada,5.9,190,16.7
Sierra Nevada Harvest Ale,Sierra Nevada,6.7,215,19.3
Sierra Nevada India Pale Ale,Sierra Nevada,6.9,231,20
Sierra Nevada Pale Ale,Sierra Nevada,5.6,175,14.1
Sierra Nevada Pale Bock,Sierra Nevada,7,218,19.7
Sierra Nevada Porter,Sierra Nevada,5.6,194,18.4
Sierra Nevada Stout,Sierra Nevada,5.8,225,22.3
Sierra Nevada Summerfest Beer,Sierra Nevada,5,158,13.7
Sierra Nevada Wheat Beer,Sierra Nevada,4.4,153,13.1
Signature Stroh Beer,Stroh's,4.8,153,
Southpaw Light,MillerCoors,5,123,6.6
Steel Reserve,MillerCoors,8.1,222,16
Steel Reserve Triple Export,MillerCoors,8.1,222,16
Steel Reserve Six,MillerCoors,6,160,11
Stroh's Beer ,Stroh's,4.6,149,12
Stroh's Light,Stroh's,4.4,113,7
Summit Horizon Red IPA,Summit Brewing,5.7,195,15
Summit Summer Ale,Summit Brewing,4.5,147,12
Tuborg Deluxe Dark Export,G. Heileman,5.1,163,
Tuborg Export Quality,G. Heileman,5,156,
Weinhard's Private Reserve,MillerCoors,4.8,150,9.9
Weinhard's Amber Light,MillerCoors,4.2,135,11.5
Weinhard's Hefeweizen,MillerCoors,4.9,151,12.2
Weinhard's Blonde Lager,MillerCoors,5.1,161,14
Weinhard's Pale Ale,MillerCoors,4.6,147,13
Yuengling Ale,D.G. Yuengilng,5,145,10
Yuengling Porter,D.G. Yuengilng,4.5,150,14
Yuengling Premium Beer,D.G. Yuengling,4.4,135,12
Yuengling Light,D.G. Yuengling,3.8,98,6.6
Yuengling Lager,D.G. Yuengling,4.4,135,12